LST_DATE,source_file,RH_DAILY_MAX,RH_DAILY_MIN,RH_DAILY_AVG
57139-08-31,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-01,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-02,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-03,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-04,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-05,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-06,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-07,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-08,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-09,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-10,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-11,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-12,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-13,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-14,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-15,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-16,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-17,CRND0103-2015-AK_Deadhorse_3_S.txt,NA,NA,NA
57139-09-18,CRND0103-2015-AK_Deadhorse_3_S.txt,83.9,78.5,81.3
57139-09-19,CRND0103-2015-AK_Deadhorse_3_S.txt,84.7,75.2,79.3
57139-09-20,CRND0103-2015-AK_Deadhorse_3_S.txt,81.5,76.4,79.7
57139-09-21,CRND0103-2015-AK_Deadhorse_3_S.txt,85.5,78.6,83.3
57139-09-22,CRND0103-2015-AK_Deadhorse_3_S.txt,84.6,79,82.6
57139-09-23,CRND0103-2015-AK_Deadhorse_3_S.txt,84.9,79.8,82.9
57139-09-24,CRND0103-2015-AK_Deadhorse_3_S.txt,85.6,82.7,83.8
57139-09-25,CRND0103-2015-AK_Deadhorse_3_S.txt,84.5,81.2,82.7
57139-09-26,CRND0103-2015-AK_Deadhorse_3_S.txt,83.8,82,82.9
57139-12-05,CRND0103-2015-AK_Deadhorse_3_S.txt,85.4,78.4,81.3
57139-12-06,CRND0103-2015-AK_Deadhorse_3_S.txt,85.9,78.5,82.7
57139-12-07,CRND0103-2015-AK_Deadhorse_3_S.txt,87.4,81.6,83.3
57139-12-08,CRND0103-2015-AK_Deadhorse_3_S.txt,84,79.2,81.4
57139-12-09,CRND0103-2015-AK_Deadhorse_3_S.txt,82.7,73.5,78.3
57139-12-10,CRND0103-2015-AK_Deadhorse_3_S.txt,83.9,80.9,82.4
57139-12-11,CRND0103-2015-AK_Deadhorse_3_S.txt,84.3,80.5,82.4
57139-12-12,CRND0103-2015-AK_Deadhorse_3_S.txt,88.7,82.2,84.8
57139-12-13,CRND0103-2015-AK_Deadhorse_3_S.txt,91.7,85.8,88.5
57139-12-14,CRND0103-2015-AK_Deadhorse_3_S.txt,89.9,84.7,88
57139-12-15,CRND0103-2015-AK_Deadhorse_3_S.txt,89.2,84.6,87.1
57139-12-16,CRND0103-2015-AK_Deadhorse_3_S.txt,89.1,84.4,87.2
57139-12-17,CRND0103-2015-AK_Deadhorse_3_S.txt,89,83.2,87
57139-12-18,CRND0103-2015-AK_Deadhorse_3_S.txt,88.3,84,86.3
57139-12-19,CRND0103-2015-AK_Deadhorse_3_S.txt,87.2,84,86
57139-12-20,CRND0103-2015-AK_Deadhorse_3_S.txt,88.1,83,85.4
57139-12-21,CRND0103-2015-AK_Deadhorse_3_S.txt,88.2,84.1,86.6
57139-12-22,CRND0103-2015-AK_Deadhorse_3_S.txt,89.8,84.2,87.4
57139-12-23,CRND0103-2015-AK_Deadhorse_3_S.txt,93.1,86.7,89
57139-12-24,CRND0103-2015-AK_Deadhorse_3_S.txt,95.3,85.3,90.7
57139-12-25,CRND0103-2015-AK_Deadhorse_3_S.txt,94.6,88.5,92
57139-12-26,CRND0103-2015-AK_Deadhorse_3_S.txt,92.2,74.1,86
57139-12-27,CRND0103-2015-AK_Deadhorse_3_S.txt,88.7,65.3,79.2
57139-12-28,CRND0103-2015-AK_Deadhorse_3_S.txt,98.1,75,87.7
57139-12-29,CRND0103-2015-AK_Deadhorse_3_S.txt,97.8,88,93.1
57139-12-30,CRND0103-2015-AK_Deadhorse_3_S.txt,88.2,81.7,86.5
57139-12-31,CRND0103-2015-AK_Deadhorse_3_S.txt,89.9,80.6,85.7
57140-01-01,CRND0103-2015-AK_Deadhorse_3_S.txt,95,88.3,90.7
57140-01-02,CRND0103-2015-AK_Deadhorse_3_S.txt,93.3,90,91.7
57140-01-03,CRND0103-2015-AK_Deadhorse_3_S.txt,92,87.5,90.5
